BearID,year,sex,birth,age,reprostatus.represent,C13.suess,N15,weight,headcirc,Cmonth
W0612,2008,M,2005,4,SolitaryM,-22.914,4.41,97,66,4
W0613,2005,M,2005,1,WithMother,-23.31,4.97,14.5,34,5
W0613,2007,M,2005,3,SolitaryM,-22.876,4.38,83,56,4
W0614,2005,M,2005,1,WithMother,-23.25,4.72,19,40,5
W0615,2005,M,2005,1,WithMother,-23.28,5.01,29,44,5
W0616,2005,F,2005,1,WithMother,-23.04,5.03,25,42,5
W0616,2008,F,2005,4,SolitaryF,-23.034,4.39,77,62,4
W0616,2009,F,2005,5,SolitaryF,-22.972,4.5,81,58,4
W0617,2005,M,2005,1,WithMother,-23,4.91,25,43,5
W0618,2005,M,2005,1,WithMother,-23.85,4.83,21,41,5
W0618,2006,M,2005,2,WithMother,-23.368,4.65,50,50,5
W0619,2005,M,2005,1,WithMother,-23.81,4.93,20,43,5
W0619,2006,M,2005,2,WithMother,-23.488,4.72,42,49,5
W0620,2005,F,2005,1,WithMother,-23.1,5.36,25,40,5
W0620,2007,F,2005,3,SolitaryF,-22.986,4.61,NA,57,5
W0620,2008,F,2005,4,SolitaryF,-22.804,4.69,77,58,4
W0620,2011,F,2005,7,WithCubs,-22.968,4.42,79,63,5
W0620,2012,F,2005,8,SolitaryF,-23.306,4.89,86,62,5
W0620,2014,F,2005,10,WithCubs,-23.352,4.85,106.5,63,4
W0621,2005,F,2005,1,WithMother,-23.39,4.53,18,40,5
W0621,2008,F,2005,4,SolitaryF,-22.634,4.33,78,57,4
W0621,2010,F,2005,6,SolitaryF,-22.98,4.57,83,60,4
W0621,2012,F,2005,8,WithCubs,-23.286,4.21,86,62,4
W0621,2015,F,2005,11,WithCubs,-23.23,4.42,93,62,5
W0622,2005,F,2005,1,WithMother,-23.48,4.81,20.5,40,5
W0622,2008,F,2005,4,SolitaryF,-23.364,4.53,78,61,5
W0622,2009,F,2005,5,SolitaryF,-23.472,3.95,98,63,4
W0623,2005,F,2005,1,WithMother,-23.06,5.43,20.5,42,5
W0623,2008,F,2005,4,SolitaryF,-22.894,4.28,69,60,4
W0623,2010,F,2005,6,WithCubs,-23.33,4.4,70,57,4
W0623,2015,F,2005,11,WithCubs,-23.74,3.91,88,64,5
W0624,2005,F,1989,17,NA,-23.06,4.78,111,65,5
W0624,2006,F,1989,18,SolitaryF,-23.048,4.57,120,65,4
W0624,2007,F,1989,19,SolitaryF,-22.886,4.83,118,65,5
W0625,2005,M,2003,3,SolitaryM,-23.18,4.66,NA,59.5,6
W0625,2006,M,2003,4,SolitaryM,-23.478,4.88,93,67,5
W0625,2007,M,2003,5,SolitaryM,-22.996,4.79,NA,66,6
W0625,2008,M,2003,6,SolitaryM,-23.164,5,NA,72,5
W0625,2009,M,2003,7,SolitaryM,-23.412,5.41,130,69,4
W0625,2010,M,2003,8,SolitaryM,-23.26,5.71,121,70,4
W0625,2011,M,2003,9,SolitaryM,-23.468,5.37,148,71,4
W0625,2012,M,2003,10,SolitaryM,-23.626,5.47,162,72,4
W0626,2005,F,2000,6,WithCubs,-23.34,4.44,76,57,6
W0626,2006,F,2000,7,SolitaryF,-23.268,4.6,68,57,5
W0626,2007,F,2000,8,SolitaryF,-23.216,4.29,NA,60,6
W0701,2006,F,2006,1,WithMother,-23.448,5.03,20,NA,4
W0702,2006,F,2006,1,WithMother,-23.488,5.25,19,NA,4
W0702,2009,F,2006,4,NA,-23.192,4.41,NA,NA,13
W0703,2006,F,2006,1,WithMother,-23.408,5.35,20.5,40,4
W0703,2008,F,2006,3,SolitaryF,-22.974,4.17,51,52,4
W0703,2009,F,2006,4,SolitaryF,-22.972,4.79,59,51,4
W0703,2010,F,2006,5,SolitaryF,-23.08,4.81,74,56,5
W0704,2006,M,2006,1,WithMother,-23.338,5.47,26,40.5,4
W0705,2006,M,2006,1,WithMother,-23.218,5.18,30,42,4
W0706,2006,F,2006,1,WithMother,-22.888,5.24,19,39,4
W0706,2009,F,2006,4,SolitaryF,-23.242,4.27,61,56,4
W0706,2015,F,2006,10,WithCubs,-23.41,4.63,83.6,59,5
W0707,2006,F,2006,1,WithMother,-22.798,5.12,19,39,4
W0708,2006,M,2006,1,WithMother,-23.278,5.35,22,38.5,4
W0709,2006,F,2006,1,WithMother,-23.118,5.46,25,41.5,4
W0710,2006,M,2006,1,WithMother,-23.428,5.33,26,44.5,4
W0711,2006,M,2006,1,WithMother,-23.268,5.61,24,40,4
W0712,2006,F,2006,1,WithMother,-23.218,5.12,12,37.5,4
W0713,2006,F,2006,1,WithMother,-23.298,5.05,12,38,4
W0713,2007,F,2006,2,WithMother,-23.166,5.36,NA,NA,13
W0713,2009,F,2006,4,SolitaryF,-23.072,4.74,46,50,4
W0713,2012,F,2006,7,SolitaryF,-23.116,5.17,77,58,5
W0713,2014,F,2006,9,WithCubs,-23.302,4.68,62.8,56.5,4
W0716,2006,F,2001,6,NA,-23.068,4.13,89,61,5
W0716,2009,F,2001,9,WithCubs,-23.442,3.94,89,60,4
W0716,2011,F,2001,11,WithCubs,-23.218,4.49,87,60,5
W0716,2015,F,2001,15,SolitaryF,-23.11,4.09,117.8,62,5
W0717,2006,M,1996,11,SolitaryM,-23.238,6.13,218,81,5
W0717,2006,M,1996,11,SolitaryM,-23.018,5.83,218,81,5
